msg time : 0.0000E+00, msg delay : 0.0000E+00
msg time : 1.0000E-02, msg delay : 1.8000E-01
msg time : 2.0000E-02, msg delay : 3.9000E-01
msg time : 3.0000E-02, msg delay : 3.9000E-01
msg time : 4.0000E-02, msg delay : 3.9000E-01
msg time : 5.0000E-02, msg delay : 3.9000E-01
msg time : 6.0000E-02, msg delay : 3.9000E-01
msg time : 7.0000E-02, msg delay : 3.9000E-01
msg time : 8.0000E-02, msg delay : 3.9000E-01
msg time : 9.0000E-02, msg delay : 3.9000E-01
msg time : 1.0000E-01, msg delay : 3.9000E-01
msg time : 1.1000E-01, msg delay : 3.9000E-01
msg time : 1.2000E-01, msg delay : 3.9000E-01
msg time : 1.3000E-01, msg delay : 3.9000E-01
msg time : 1.4000E-01, msg delay : 3.9000E-01
msg time : 1.5000E-01, msg delay : 3.9000E-01
msg time : 1.6000E-01, msg delay : 3.9000E-01
msg time : 1.7000E-01, msg delay : 3.9000E-01
msg time : 1.8000E-01, msg delay : 3.9000E-01
msg time : 1.9000E-01, msg delay : 3.9000E-01
msg time : 2.0000E-01, msg delay : 3.9000E-01
msg time : 2.1000E-01, msg delay : 3.9000E-01
msg time : 2.2000E-01, msg delay : 3.9000E-01
msg time : 2.3000E-01, msg delay : 3.9000E-01
msg time : 2.4000E-01, msg delay : 3.9000E-01
msg time : 2.5000E-01, msg delay : 3.9000E-01
msg time : 2.6000E-01, msg delay : 3.9000E-01
msg time : 2.7000E-01, msg delay : 3.9000E-01
msg time : 2.8000E-01, msg delay : 3.9000E-01
msg time : 2.9000E-01, msg delay : 3.9000E-01
msg time : 3.0000E-01, msg delay : 3.9000E-01
msg time : 3.1000E-01, msg delay : 3.9000E-01
msg time : 3.2000E-01, msg delay : 3.9000E-01
msg time : 3.3000E-01, msg delay : 3.9000E-01
msg time : 3.4000E-01, msg delay : 3.9000E-01
msg time : 3.5000E-01, msg delay : 3.9000E-01
msg time : 3.6000E-01, msg delay : 3.9000E-01
msg time : 3.7000E-01, msg delay : 3.9000E-01
msg time : 3.8000E-01, msg delay : 3.9000E-01
msg time : 3.9000E-01, msg delay : 3.9000E-01
msg time : 4.0000E-01, msg delay : 3.9000E-01
msg time : 4.1000E-01, msg delay : 3.9000E-01
msg time : 4.2000E-01, msg delay : 3.9000E-01
msg time : 4.3000E-01, msg delay : 3.9000E-01
msg time : 4.4000E-01, msg delay : 3.9000E-01
msg time : 4.5000E-01, msg delay : 3.9000E-01
msg time : 4.6000E-01, msg delay : 3.9000E-01
msg time : 4.7000E-01, msg delay : 3.9000E-01
msg time : 4.8000E-01, msg delay : 3.9000E-01
msg time : 4.9000E-01, msg delay : 3.9000E-01
msg time : 5.0000E-01, msg delay : 3.9000E-01
